Environment,Main Category,Subcategory,Sub-Subcategory,Status,Due Date / Frequency,Priority,Estimated Time / Effort
Home,Household Chores,Kitchen Cleanup,Fridge cleanout,,,,
Home,Household Chores,Kitchen Cleanup,Pantry organization,,,,
Home,Household Chores,Waste Management,Trash removal,,,,
Home,Household Chores,Waste Management,Recycling sorting,,,,
Home,Household Chores,Waste Management,Composting,,,,
Home,Maintenance & Repairs,Automobile,Tires,,,,
Home,Maintenance & Repairs,Automobile,Inspection & Legal,,,,
Home,Maintenance & Repairs,Automobile,Gas & Fueling,,,,
Home,Maintenance & Repairs,Automobile,Repairs & Mechanical,,,,
Home,Maintenance & Repairs,Automobile,Windshield Wipers,,,,
Home,Maintenance & Repairs,Automobile,Oil change,,,,
Home,Maintenance & Repairs,Landscaping & Yard,Lawn mowing,,,,
Home,Maintenance & Repairs,Landscaping & Yard,Gutter cleaning,,,,
Home,Maintenance & Repairs,Landscaping & Yard,Weeding,,,,
Home,Maintenance & Repairs,Landscaping & Yard,Tree trimming,,,,
Home,Maintenance & Repairs,Landscaping & Yard,Snow removal,,,,
Home,Maintenance & Repairs,HVAC & Utilities,Air filter replacement,,,,
Home,Maintenance & Repairs,HVAC & Utilities,Thermostat settings,,,,
Home,Maintenance & Repairs,HVAC & Utilities,Water heater flush,,,,
Home,Maintenance & Repairs,Plumbing,Leak fixing,,,,
Home,Maintenance & Repairs,Plumbing,Drain unclogging,,,,
Home,Maintenance & Repairs,Plumbing,Faucet replacement,,,,
Home,Maintenance & Repairs,Home Structure & Appliances,Roof repair,,,,
Home,Maintenance & Repairs,Home Structure & Appliances,Appliance fixing,,,,
Home,Maintenance & Repairs,Home Structure & Appliances,Painting,,,,
Home,Maintenance & Repairs,Home Structure & Appliances,Lightbulb replacement,,,,
Work,Administrative,Financial Admin,Expense reporting,,,,
Work,Administrative,Financial Admin,Invoicing,,,,
Work,Administrative,Financial Admin,Budget tracking,,,,
Work,Administrative,Schedule & Logistics,Calendar coordination,,,,
Work,Administrative,Schedule & Logistics,Travel booking,,,,
Work,Administrative,Schedule & Logistics,Event planning,,,,
Work,Administrative,Data & Systems,Data entry,,,,
Work,Administrative,Data & Systems,CRM updating,,,,
Work,Administrative,Data & Systems,Software updates,,,,
Work,Communication,Internal Team,Team meetings,,,,
Work,Communication,Internal Team,Messaging (Slack/Teams),,,,
Work,Communication,Internal Team,Status updates,,,,
Work,Communication,External & Clients,Client emails,,,,
Work,Communication,External & Clients,Sales presentations,,,,
Work,Communication,External & Clients,Contract negotiations,,,,
Work,Communication,External & Clients,Networking,,,,
Work,Communication,Documentation,Meeting minutes,,,,
Work,Communication,Documentation,Knowledge base writing,,,,
Work,Communication,Documentation,Handover notes,,,,
Work,Core Operations,Production & Design,Content creation,,,,
Work,Core Operations,Production & Design,Coding & Development,,,,
Work,Core Operations,Production & Design,Graphic design,,,,
Work,Core Operations,Sales & Marketing,Campaign optimization,,,,
Work,Core Operations,Sales & Marketing,Lead generation,,,,
Work,Core Operations,Sales & Marketing,Social media scheduling,,,,
Work,Core Operations,Technical Support,Troubleshooting,,,,
Work,Core Operations,Technical Support,System maintenance,,,,
Work,Core Operations,Technical Support,Bug fixing,,,,
Work,Professional Development,Education,Skills training,,,,
Work,Professional Development,Education,Industry research,,,,
Work,Professional Development,Education,Reading case studies,,,,
Work,Professional Development,Growth & Compliance,Certifications,,,,
Work,Professional Development,Growth & Compliance,Performance reviews,,,,
Work,Professional Development,Growth & Compliance,Mentorship sessions,,,,
Work,Project Management,Planning & Strategy,Milestone planning,,,,
Work,Project Management,Planning & Strategy,Roadmap creation,,,,
Work,Project Management,Planning & Strategy,Goal setting (OKRs),,,,
Work,Project Management,Execution & Tracking,Sprint tracking,,,,
Work,Project Management,Execution & Tracking,Task assignment,,,,
Work,Project Management,Execution & Tracking,Deadline monitoring,,,,
Work,Project Management,Quality Assurance,Quality review,,,,
Work,Project Management,Quality Assurance,Testing & Debugging,,,,
Work,Project Management,Quality Assurance,Compliance checks,,,,
